context,question,gold_label,gold_label_pro_rationale,gold_label_ratings,feedback_gold_label,distractor,distractor_pro_rationale,distractor_ratings,feedback_distractor,gold_label_stats,distractor_stats,gold_label_no_rationale_ratings,gold_label_no_rationale_stats,distractor_no_rationale_ratings,distractor_no_rationale_stats
Kendall said that nobody was to use their phone. Jesse used Kendall's phone anyway.,What will Kendall want to do next?,lock their phone,"Kendall might want to lock their phone to prevent unauthorized usage by others, as locking the phone adds an extra layer of security and enforces the rule of not using the phone without permission. This action directly responds to Jesse's disregard for Kendall's rule by ensuring it doesn't happen again.","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]",[],compliment Jesse,"Kendall might want to compliment Jesse for having the courage or resourcefulness to bypass restrictions, acknowledging Jesse's initiative or ability to achieve a goal despite the set rule. This could be viewed as a teachable moment where Kendall appreciates Jesse's problem-solving skills, even if it was against the initial directive.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}]","[{'feedback': 'This is pretty dang unlikely unless Kendall has a huge crush on Jesse. '}, {'feedback': 'This is pretty dang unlikely unless Kendall has a huge crush on Jesse. '}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","{'mean': 2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 2.0}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}"
"Ash was nervous, and cringed when they missed a step, but knew that the best thing to do is push forward. They earned a standing ovation.",Why did Ash do this?,Prove they could do it,"Ash was determined to prove to themselves and others that they could succeed despite their nervousness and initial stumble, which is why they pushed forward and ultimately earned a standing ovation. This demonstrates their desire to prove their capabilities and resilience in the face of challenges.","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]",[],Quit while they were ahead,"Ash might have decided to interpret ""quit while they were ahead"" as a metaphorical step in their performance, where after making a mistake, instead of dwelling on it, they mentally reset, treated the rest of the performance as a fresh start, and concluded so well that the audience gave a standing ovation. By recognizing the missed step as a symbolic point of ending and beginning anew, Ash was able to push past it, leading to a strong finish.","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]","[{'feedback': 'Not likely, this was an encouraging moment for them and it seems they are still learning. If they quit now, they will probably regret it forever. '}, {'feedback': 'Not likely, this was an encouraging moment for them and it seems they are still learning. If they quit now, they will probably regret it forever. '}]","{'mean': 4.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","{'mean': 3.1666666666666665, 'variance': 1.3666666666666667, 'std_dev': 1.1690451944500122, 'median': 3.0}","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]","{'mean': 1.2, 'variance': 0.2, 'std_dev': 0.4472135954999579, 'median': 1}"
Cameron wasted money on an expensive handbag.,Why did Cameron do this?,buy a status item,"Cameron may have purchased the expensive handbag as a status item to display wealth or social status, which is often associated with high-end, costly accessories. This choice could be driven by societal pressures or personal desire to be perceived as affluent and fashionable.","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]",[],resent her waste,"Cameron might have bought the expensive handbag as a form of self-punishment or to deliberately feel the emotional consequence of resenting her wasteful behavior, which could be a personal strategy for changing her spending habits in the future. By making this purchase and then resenting it, she reinforces a negative emotional response to overspending, potentially deterring similar decisions later on.","[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]",[],"{'mean': 3.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 4}","{'mean': 3.5, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 4.0}","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]","{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1.2, 'variance': 0.2, 'std_dev': 0.4472135954999579, 'median': 1}"
Quinn murdered Remy's wife while Remy was away on a business trip.,How would Quinn feel afterwards?,guilty,"Quinn might feel guilty afterwards because the act of murder could conflict with their moral or ethical values, triggering a sense of remorse or self-reproach despite their initial intentions. Additionally, the realization of the far-reaching consequences of their actions, such as the impact on Remy and others, could heighten feelings of guilt.","[{'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]",[],like a good person,"Quinn might feel like a good person if they believe that their actions were justified or necessary, perhaps thinking they were liberating Remy from a troubled marriage or acting in what they perceived as his best interest. Sometimes, individuals with distorted moral reasoning can rationalize their actions and view themselves as heroes or saviors.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'Quinn might feel this way if they are a psychopath but I sure hope not. '}, {'feedback': 'Quinn might feel this way if they are a psychopath but I sure hope not. '}]","{'mean': 3.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 3}","{'mean': 2.3333333333333335, 'variance': 1.0666666666666667, 'std_dev': 1.0327955589886444, 'median': 2.0}","[{'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}"
Aubrey helped Alex with a task.,What will Alex want to do next?,give Aubrey a hug,"Alex may feel grateful for Aubrey's assistance and want to express appreciation in a friendly and personal way, making a hug a fitting gesture of gratitude and closeness.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]",[],Tell her she accepts,"Alex may want to express gratitude or mutual support for Aubrey's help with the task by telling her she accepts an offer or suggestion made by Aubrey, as this could be an opportunity for Alex to reciprocate or show appreciation.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","[{'feedback': 'It depends on the context, lol. This could be interpreted in a silly way. '}, {'feedback': 'It depends on the context, lol. This could be interpreted in a silly way. '}]","{'mean': 2.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}","{'mean': 3, 'variance': 1.6, 'std_dev': 1.2649110640673518, 'median': 2.5}","[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","{'mean': 3, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 3}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}]","{'mean': 2.2, 'variance': 2.7, 'std_dev': 1.6431676725154984, 'median': 2}"
Kai was a great improvisational guitar player; Kai made it up as Kai goes along.,What will Kai want to do next?,record their improvised music,"Kai, being a great improvisational guitar player, would likely want to record their improvised music to capture unique, spontaneous moments and potentially use the recordings as a basis for future compositions or performances. Recording allows them to retain the originality and dynamic essence of their improvisations for further exploration or sharing with an audience.","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]",[],learn a cover song,"Kai might want to learn a cover song to expand their musical repertoire and add structured elements to their improvisational skills, which can enhance creativity and introduce new techniques into their playing. Additionally, mastering a cover song could provide Kai with new inspiration for their improvisational performances.","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]","[{'feedback': 'Yah but not likely. If they are an improv player why would they want to learn a new cover. However, Jerry Garcia also learned many covers, and still made it up while he went along. Same with Phish. '}, {'feedback': 'Yah but not likely. If they are an improv player why would they want to learn a new cover. However, Jerry Garcia also learned many covers, and still made it up while he went along. Same with Phish. '}]","{'mean': 3.2, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 4}","{'mean': 2.8333333333333335, 'variance': 1.7666666666666666, 'std_dev': 1.3291601358251257, 'median': 3.0}","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 3, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 3}","[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]","{'mean': 2.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 3}"
Riley is trying to teach Sasha how to swim underwater.,How would you describe Riley?,helpful,"Riley is engaging in an activity that involves teaching and guiding Sasha in acquiring a new skill, which demonstrates a willingness to assist and support her. This effort to share knowledge and ensure Sasha's comfort and proficiency underwater clearly exemplifies a helpful nature.","[{'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]",[],bossy,"Riley taking the initiative to teach Sasha how to swim underwater could be seen as exerting authority or control over the situation, which might be interpreted as bossy. In this context, Riley might display assertiveness or a commanding presence to ensure Sasha follows instructions for safety and learning purposes.","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]",[{'feedback': 'nice'}],"{'mean': 4.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 5}","{'mean': 2.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 2}","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}]","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}"
Ash threw up their arms and just finally gave up on Sasha and her attitude.,What will happen to Sasha?,abandoned,"Sasha will likely be abandoned because Ash's decision to give up suggests a withdrawal of support or engagement in response to her difficult attitude, leaving Sasha to manage her challenges on her own. This interpretation aligns with the notion that Ash has reached a breaking point and chosen to distance themselves from continued involvement.","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]",[],get away from Sasha,"The phrase ""get away from Sasha"" suggests that Ash's decision to give up is likely due to frustration or conflict, so Ash distancing themself could mean Sasha remains unchallenged and free to continue her attitude without Ash's interference. This choice implies a physical or emotional detachment that allows Sasha to continue unencumbered by Ash's presence or attempts to address the issue.","[{'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]","[{'feedback': 'The response of Sasha ""get(ting) away from Shasha"" does not make sense.'}]","{'mean': 3, 'variance': 1, 'std_dev': 1.0, 'median': 3}","{'mean': 2.4, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 3}","[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","{'mean': 2.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1.8, 'variance': 3.2000000000000006, 'std_dev': 1.788854381999832, 'median': 1}"
Aubrey worked their best and never received a raise.,How would you describe Aubrey?,underappreciated,"Aubrey is described as underappreciated because despite working their best, they did not receive a raise, indicating that their efforts and contributions were not fully recognized or valued by their employer. This lack of recognition aligns with the notion of being underappreciated, as their hard work was not rewarded or acknowledged in the form of a raise.","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}]",[],Feel cheated,"Aubrey might feel cheated because despite putting in their best effort, they did not receive a raise, which could lead to a sense of being undervalued or unfairly treated. The lack of recognition for hard work can strongly contribute to feelings of being cheated in a workplace setting.","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]",[{'feedback': 'nice'}],"{'mean': 4.4, 'variance': 1.8, 'std_dev': 1.3416407864998738, 'median': 5}","{'mean': 4.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 4}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]","{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}"
Riley regarded Jesse with observant eyes. He didn't trust Jesse because he's known her a long time.,What will Riley do?,Not take Jesse's word for anything,"Given that Riley has a history with Jesse and doesn't trust her, it is plausible that he would choose to verify her claims independently rather than accepting them at face value, therefore not taking her word for anything. This cautious approach aligns with his lack of trust developed over time.","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","[{'feedback': ""when you don't trust people, it is good to be conscious around them ""}, {'feedback': 'he will have little to no trust for Jesse words'}]",Believe what Jesse says,"Riley might choose to believe what Jesse says because having known her for a long time, he might feel confident in discerning when she is being truthful and when she is not, potentially sensing a genuine moment from her now. Additionally, his observant nature could lead him to give Jesse the benefit of the doubt, assuming this interaction might be different and warrant trust.","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}]","[{'feedback': 'Riley appears to be a good judge of character so judging by her body language and his knowledge of her character, he can discern if she is telling the truth or not.'}, {'feedback': 'Explanation directly contradicts the sentence. ""...didn\'t trust Jesse because he\'s known her for a long time."" Technically possible, but unlikely.'}]","{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}","{'mean': 2.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 2}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 1}"
Lee made copies so that everyone at the table could follow along.,What will Lee want to do next?,make sure there are enough,"Lee will likely want to ensure there are enough copies for everyone at the table to follow along effectively, validating the effort made in creating the copies and facilitating seamless participation and engagement in the discussion or activity.","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","[{'feedback': 'he took extra steps to make sure people followed up'}, {'feedback': 'agreed Lee is committed to ensuring everybody present stay attentive and focused'}]",keep all the copies,"Lee may want to keep all the copies after ensuring everyone at the table has one to maintain a complete set for his records or future reference, in case additional participants join later or replacements are needed. Keeping the copies could also help Lee track the information shared and maintain document consistency in discussions.","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]","[{'feedback': 'It is possible, but unlikely given their motivation to make the copies in the first place. '}, {'feedback': 'That would be the second step, AFTER handing out copies. So while technically possible, seems unlikely without the additional handing out step.'}]","{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","{'mean': 3, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 3}","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}"
Sydney opened a savings account after learning about getting interest on their money.,What does Sydney need to do before this?,do some research,"It is plausible that Sydney needs to do some research before opening a savings account to understand different interest rates, banks, and account terms available to make an informed decision. Conducting research ensures Sydney is aware of the best options to maximize benefits, aligning with the decision to open a savings account for interest earnings.","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]",[],do little research,"Doing a little research is plausible because Sydney would likely want to understand the different savings account options, interest rates, and terms offered by various banks to make an informed decision. This preliminary research could guide them in choosing the most beneficial account to maximize their financial gains.","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]",[],"{'mean': 3.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 3}","{'mean': 4.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 5}","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 3, 'variance': 2, 'std_dev': 1.4142135623730951, 'median': 2}"
Tracy wore Sydney's jacket to school without asking for permission.,How would you describe Tracy?,rude,"Tracy's action of wearing Sydney's jacket without permission shows a lack of consideration for Sydney's ownership and feelings, which can be interpreted as disrespectful behavior, thus fitting the definition of being rude. By not seeking permission, Tracy disregarded social norms and courtesy, emphasizing the rudeness of the act.","[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","[{'feedback': 'Yes, that was rude actually.'}, {'feedback': 'she showed no regard for his space and personal stuff.'}]",upset that Tracy stole their jacket,"Tracy's behavior of wearing Sydney's jacket without permission could indicate that she is upset, as taking something without asking might be a way for her to express her emotions or assert control over a situation she finds distressing. Her actions could be interpreted as a means to indirectly communicate her feelings of upset or dissatisfaction to Sydney.","[{'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}]","[{'feedback': ""Grammatically wrong and the explanation doesn't relate to the statement.""}]","{'mean': 4.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}","{'mean': 2.4, 'variance': 3.8000000000000003, 'std_dev': 1.949358868961793, 'median': 1}","[{'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}","[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}]","{'mean': 2.4, 'variance': 3.8000000000000003, 'std_dev': 1.949358868961793, 'median': 1}"
Carson was wrongfully convicted for a crime. Taylor proved Carson's point last night and the judge agreed.,What will happen to Carson?,be released,"If Taylor successfully proved Carson's innocence and the judge agreed, it is plausible that Carson will be released from custody as the wrongful conviction would be overturned due to the new evidence.","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","[{'feedback': 'this is a good survey and study'}, {'feedback': ""With Taylor's evidence , it will be legally wrong for the Judge to convict an innocent Carson""}]",be rewarded,"Carson may be rewarded as a form of compensation or acknowledgment for having been wrongfully convicted, perhaps through financial restitution or public recognition of the injustice he suffered. This can serve as an effort to restore his reputation and mitigate the impacts of his wrongful conviction.","[{'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]",[{'feedback': 'Likely as a result of a lawsuit.'}],"{'mean': 4.8, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 5}","{'mean': 3.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 4}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 5, 'variance': 0, 'std_dev': 0.0, 'median': 5}","[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]","{'mean': 2.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 2}"
Addison regarded every comment very seriously and listened to all the instructions.,How would you describe Addison?,serious,"The choice ""serious"" is plausible because Addison's attitude of taking every comment seriously and attentively following all instructions suggests a focused and earnest approach, characteristics commonly associated with being serious.","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]",[],addison was law biding,"Addison's serious attitude toward comments and adherence to instructions suggests a respect for order and rules, indicating she is likely to be law-abiding. By valuing the guidelines and taking them seriously, Addison demonstrates characteristics typically associated with following the law.","[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]",[{'feedback': 'nice'}],"{'mean': 4.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 5}","{'mean': 4, 'variance': 1, 'std_dev': 1.0, 'median': 4}","[{'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]","{'mean': 4.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 5}","[{'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 3.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}"
Riley cried after Jesse said something.,What did Jesse say?,Insults about Riley,"It's plausible that Riley cried because insults are often emotionally hurtful, and receiving them from someone like Jesse could have made Riley feel upset or vulnerable. Emotional reactions such as crying are common responses to personal attacks or negative comments.","[{'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]",[],nice,"Jesse might have said something nice to Riley, but Riley could have been overwhelmed with emotions, possibly due to a positive or unexpected compliment, causing them to cry tears of joy or gratitude. Alternatively, Riley might have been going through a difficult time, and hearing something nice could have touched them deeply, prompting an emotional response.","[{'rating': '4 - Likely'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]",[],"{'mean': 3.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 4}","{'mean': 2.8, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 3}","[{'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 4, 'variance': 1, 'std_dev': 1.0, 'median': 4}","[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}]","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}"
